embedding,dim,f1_micro,f1_macro,precision,recall,mean_auc
Word2Vec,300,0.6808926080892608,0.24884261471516883,0.8546170678336981,0.5658649666763257,0.8464518443325338
FastText,300,0.6591103507271172,0.17326172059736214,0.8560318489028793,0.5358446827006664,0.8322688444876121
BERT-SBERT,384,0.7418930621932835,0.4051136584711468,0.8306996121246947,0.6702405099971023,0.8860841602424044
